"bin","completeness","contamination","keggid","binary","pathway","pathway_in_detail","gene"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K00958","absent","sulfate reduction","sulfate adenylyltransferase","SAT"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K01938","absent","reductive acetogenesis","Formate-tetrahydrofolate ligase FTHFS","fhs"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K02111","absent","reductive acetogenesis","F-type H+/Na+-transporting ATPase subunit alpha","atpA"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K03388","absent","methanogenesis","hdr flavoprotein analogs","hdrA2"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K03612","absent","methanogenesis","rnf  complex","rnfG"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K03612","absent","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G","rnfG"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K03613","absent","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E","rnfE"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K03613","absent","methanogenesis","rnf  complex","rnfE"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K03614","absent","methanogenesis","rnf  complex","rnfD"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K03614","absent","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D","rnfD"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K03615","absent","methanogenesis","rnf  complex","rnfC"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K03615","absent","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C","rnfC"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K03617","absent","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A","rnfA"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K03617","absent","methanogenesis","rnf  complex","rnfA"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K11181","absent","sulfate reduction","dissimilatory sulfite reductase beta subunit","DsrB"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K11261","absent","methanogenesis","methanogenesis_via_CO2","fmdE"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K13788","absent","methanogenesis","methanogenesis_via_acetate","pta"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K14080","absent","methanogenesis","methanogenesis_via_Methanol","mtaA"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K14081","absent","methanogenesis","methanogenesis_via_Methanol","mtaC"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K14086","absent","methanogenesis","hydrogenases associated with methanogenesis","echA"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K14091","absent","methanogenesis","hydrogenases associated with methanogenesis","echF"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K16177","absent","methanogenesis","methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine","mtmC"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K16178","absent","methanogenesis","methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine","mtbB"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K16179","absent","methanogenesis","methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine","mtbC"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K17992","absent","reductive acetogenesis","NADP-reducing hydrogenase subunit HndB","hndB"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K18331","absent","reductive acetogenesis","NADP-reducing hydrogenase subunit HndC","hndC"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K18332","present","reductive acetogenesis","NADP-reducing hydrogenase subunit HndD","hndD"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K22480","absent","methanogenesis","hdr flavoprotein analogs","hdrA1"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K00192","absent","methanogenesis","methanogenesis_via_CO2","cdhA"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K00193","absent","methanogenesis","methanogenesis_via_acetate","cdhC"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K00194","absent","reductive acetogenesis","Acetyl-CoA decarbonylase/synthase delta subunit (corrinoid iron-sulfur protein)","acsD"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K00194","absent","methanogenesis","methanogenesis_via_acetate","cdhD"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K00197","absent","reductive acetogenesis","CO-methylating acetyl-CoA synthase corrinoid iron-sulfur protein large subunit precursor","acsC"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K00197","absent","methanogenesis","methanogenesis_via_acetate","cdhE"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K00198","absent","reductive acetogenesis","Ni-dependent carbon monoxide dehydrogenase (CODH) catalytic subunit","acsA"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K00394","absent","sulfate reduction","adenylylsulfate reductase subunit A","AprA"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K00583","absent","methanogenesis","methanogenesis_via_CO2","mtrG"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K00925","absent","reductive acetogenesis","Acetate kinase","ack"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K00925","absent","methanogenesis","methanogenesis_via_acetate","ack"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K00958","present","sulfate reduction","sulfate adenylyltransferase","SAT"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K01938","present","reductive acetogenesis","Formate-tetrahydrofolate ligase FTHFS","fhs"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K02111","present","reductive acetogenesis","F-type H+/Na+-transporting ATPase subunit alpha","atpA"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K03388","absent","methanogenesis","hdr flavoprotein analogs","hdrA2"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K03612","present","methanogenesis","rnf  complex","rnfG"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K03612","present","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G","rnfG"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K03613","present","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E","rnfE"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K03613","present","methanogenesis","rnf  complex","rnfE"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K03614","present","methanogenesis","rnf  complex","rnfD"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K03614","present","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D","rnfD"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K03615","absent","methanogenesis","rnf  complex","rnfC"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K03615","absent","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C","rnfC"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K03617","present","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A","rnfA"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K03617","present","methanogenesis","rnf  complex","rnfA"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K11181","absent","sulfate reduction","dissimilatory sulfite reductase beta subunit","DsrB"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K11261","absent","methanogenesis","methanogenesis_via_CO2","fmdE"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K13788","absent","methanogenesis","methanogenesis_via_acetate","pta"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K14080","absent","methanogenesis","methanogenesis_via_Methanol","mtaA"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K14081","absent","methanogenesis","methanogenesis_via_Methanol","mtaC"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K14086","absent","methanogenesis","hydrogenases associated with methanogenesis","echA"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K14091","absent","methanogenesis","hydrogenases associated with methanogenesis","echF"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K16177","absent","methanogenesis","methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine","mtmC"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K16178","absent","methanogenesis","methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine","mtbB"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K16179","absent","methanogenesis","methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine","mtbC"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K17992","absent","reductive acetogenesis","NADP-reducing hydrogenase subunit HndB","hndB"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K18331","absent","reductive acetogenesis","NADP-reducing hydrogenase subunit HndC","hndC"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K18332","absent","reductive acetogenesis","NADP-reducing hydrogenase subunit HndD","hndD"
"A_obeuntis_BEC337_bin.1",46.71,3.23,"K22480","absent","methanogenesis","hdr flavoprotein analogs","hdrA1"
"A_obeuntis_BEC337_bin.2",46.1,2.33,"K00192","absent","methanogenesis","methanogenesis_via_CO2","cdhA"
"A_obeuntis_BEC337_bin.2",46.1,2.33,"K00193","absent","methanogenesis","methanogenesis_via_acetate","cdhC"
"A_obeuntis_BEC337_bin.2",46.1,2.33,"K00194","absent","reductive acetogenesis","Acetyl-CoA decarbonylase/synthase delta subunit (corrinoid iron-sulfur protein)","acsD"
"A_obeuntis_BEC337_bin.2",46.1,2.33,"K00194","absent","methanogenesis","methanogenesis_via_acetate","cdhD"
"A_obeuntis_BEC337_bin.2",46.1,2.33,"K00197","absent","reductive acetogenesis","CO-methylating acetyl-CoA synthase corrinoid iron-sulfur protein large subunit precursor","acsC"
"A_obeuntis_BEC337_bin.2",46.1,2.33,"K00197","absent","methanogenesis","methanogenesis_via_acetate","cdhE"
"A_obeuntis_BEC337_bin.2",46.1,2.33,"K00198","absent","reductive acetogenesis","Ni-dependent carbon monoxide dehydrogenase (CODH) catalytic subunit","acsA"
"A_obeuntis_BEC337_bin.2",46.1,2.33,"K00394","absent","sulfate reduction","adenylylsulfate reductase subunit A","AprA"
"A_obeuntis_BEC337_bin.2",46.1,2.33,"K00583","absent","methanogenesis","methanogenesis_via_CO2","mtrG"
"A_obeuntis_BEC337_bin.2",46.1,2.33,"K00925","present","reductive acetogenesis","Acetate kinase","ack"
